#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,3633937449515956
1,0;2,0;0,12779278375400144
2,0;3,0;0,0998156409270302
3,0;4,0;0,08566361856226003
4,0;5,0;0,06863314944492976
5,0;6,0;0,05361028201184131
6,0;7,0;0,040606646330681645
7,0;8,0;0,034238889270335554
8,0;9,0;0,027210988367952302
9,0;10,0;0,020381948622940984
10,0;11,0;0,01568467128478688
11,0;12,0;0,012542892999637258
12,0;13,0;0,009751406753187303
13,0;14,0;0,00801481664623288
14,0;15,0;0,0070998913213674904
15,0;16,0;0,005544872271156618
16,0;17,0;0,004243404696615334
17,0;18,0;0,003912122768554513
18,0;19,0;0,0027129657894608946
19,0;20,0;0,0025393147788120127
20,0;21,0;0,001966581445504013
21,0;22,0;0,0015032387488495183
22,0;23,0;9,163853333626401E-4
23,0;24,0;5,749733463448757E-4
24,0;25,0;3,0174175613702074E-4
25,0;26,0;1,3148076521805356E-4
26,0;27,0;1,9835115440371864E-4
27,0;28,0;1,0860063205567856E-4
28,0;29,0;6,823039710091113E-5
29,0;30,0;8,934051996182618E-5
30,0;31,0;4,525026335653274E-5
31,0;32,0;1,458508488519403E-4
32,0;33,0;1,270507394353035E-4
33,0;34,0;1,0473060953214747E-4
34,0;35,0;8,030046734871997E-6
35,0;36,0;7,110041380440834E-6
36,0;37,0;3,635021155823127E-5
37,0;38,0;1,546008997772367E-5
38,0;39,0;8,030046734871997E-6
39,0;40,0;5,460031777384944E-5
40,0;41,0;2,7050157431916255E-5
41,0;42,0;5,37103125940193E-5
42,0;43,0;2,1000122220711324E-6
43,0;44,0;8,640050285092659E-6
44,0;45,0;4,910028576366315E-5
45,0;46,0;3,185018536807884E-5
46,0;47,0;2,2110128680948923E-5
47,0;48,0;0,0
48,0;49,0;0,0
49,0;50,0;0,0
50,0;51,0;0,0
51,0;52,0;0,0
52,0;53,0;0,0
53,0;54,0;0,0
54,0;55,0;0,0
55,0;56,0;0,0
56,0;57,0;0,0
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
