#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,10312493018709369
1,0;2,0;0,04649728061417317
2,0;3,0;0,04578214645209235
3,0;4,0;0,043599553749402824
4,0;5,0;0,0433863425085134
5,0;6,0;0,040553446021055845
6,0;7,0;0,03888626631806997
7,0;8,0;0,036199810682898174
8,0;9,0;0,035128104445567875
9,0;10,0;0,03315401295635541
10,0;11,0;0,03018586568173827
11,0;12,0;0,029716472949872567
12,0;13,0;0,0271962182819904
13,0;14,0;0,026117922006306075
14,0;15,0;0,02454084282770526
15,0;16,0;0,02376706832433765
16,0;17,0;0,021723146428712214
17,0;18,0;0,02157714557898727
18,0;19,0;0,01956811388642282
19,0;20,0;0,01878433932485487
20,0;21,0;0,01628377477156917
21,0;22,0;0,01740886131957288
22,0;23,0;0,016169124104302286
23,0;24,0;0,015520410328788113
24,0;25,0;0,01375133003274079
25,0;26,0;0,013689619673586501
26,0;27,0;0,011182615082819782
27,0;28,0;0,011330105941216579
28,0;29,0;0,00940204471990027
29,0;30,0;0,008959082141858065
30,0;31,0;0,008451499187725272
31,0;32,0;0,008088347074179972
32,0;33,0;0,00817004754967674
33,0;34,0;0,006993420701708484
34,0;35,0;0,0062646364601841985
35,0;36,0;0,005377031294322133
36,0;37,0;0,0061092155556345335
37,0;38,0;0,006193066043644374
38,0;39,0;0,005211720332212334
39,0;40,0;0,004995319072757003
40,0;41,0;0,005617532694040279
41,0;42,0;0,00543541163409571
42,0;43,0;0,005111169747007927
43,0;44,0;0,0050405593360553355
44,0;45,0;0,003993743243585678
45,0;46,0;0,004148114142024307
46,0;47,0;0,003529360540878348
47,0;48,0;0,0031993986204999713
48,0;49,0;0,0028757767370206095
49,0;50,0;0,0026753555705694206
50,0;51,0;0,0023957639433461503
51,0;52,0;0,0022997033842736964
52,0;53,0;0,0022981933754854453
53,0;54,0;0,0021378624423594146
54,0;55,0;0,0020695420447347005
55,0;56,0;0,0018424307229468076
56,0;57,0;0,0018735509040662616
57,0;58,0;0,001848970761009829
58,0;59,0;0,0020973322064734416
59,0;60,0;0,0016202094296188805
60,0;61,0;0,0014957387051992644
61,0;62,0;0,0010903063455829313
62,0;63,0;0,0012940775315312336
63,0;64,0;9,270853956370026E-4
64,0;65,0;0,0013133376436250859
65,0;66,0;0,0012584473241634266
66,0;67,0;0,0010285059859048379
67,0;68,0;0,0010680862162617787
68,0;69,0;7,949346265195263E-4
69,0;70,0;7,507343692740292E-4
70,0;71,0;8,115247230738883E-4
71,0;72,0;0,0010784062763245282
72,0;73,0;8,568349867796231E-4
73,0;74,0;6,622238541428311E-4
74,0;75,0;5,913134414442293E-4
75,0;76,0;7,017840843833711E-4
76,0;77,0;4,989229037312997E-4
77,0;78,0;5,5325321993374E-4
78,0;79,0;5,76103352921514E-4
79,0;80,0;0,011498096918924068
