#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,10484931864512306
1,0;2,0;0,047981040559946175
2,0;3,0;0,048623733443126704
3,0;4,0;0,045761741697713416
4,0;5,0;0,04301021279159679
5,0;6,0;0,03982687460459325
6,0;7,0;0,03843102599893554
7,0;8,0;0,03789879595505167
8,0;9,0;0,03520751950673321
9,0;10,0;0,03350036653578494
10,0;11,0;0,029202357879515167
11,0;12,0;0,028409033851839207
12,0;13,0;0,02929273656621243
13,0;14,0;0,026420702744499452
14,0;15,0;0,023829847059177955
15,0;16,0;0,024060814814070956
16,0;17,0;0,022323535614223598
17,0;18,0;0,02005402637049236
18,0;19,0;0,02017453128608871
19,0;20,0;0,02017453128608871
20,0;21,0;0,01883893513822918
21,0;22,0;0,016238037376607988
22,0;23,0;0,016248079452907682
23,0;24,0;0,015434671272632329
24,0;25,0;0,012974362579206877
25,0;26,0;0,012040449483335174
26,0;27,0;0,010674727106576555
27,0;28,0;0,0101023287574939
28,0;29,0;0,010242917825689639
29,0;30,0;0,008093913497554754
30,0;31,0;0,008796858838533456
31,0;32,0;0,00831483917614806
32,0;33,0;0,007029453409787008
33,0;34,0;0,007250379088380314
34,0;35,0;0,0063465922214076985
35,0;36,0;0,005663731033028389
36,0;37,0;0,0054227212018356915
37,0;38,0;0,005171669294343298
38,0;39,0;0,005231921752141473
39,0;40,0;0,004418513571866119
40,0;41,0;0,004398429419266728
41,0;42,0;0,004207629969572509
42,0;43,0;0,004227714122171901
43,0;44,0;0,004308050732569466
44,0;45,0;0,004308050732569466
45,0;46,0;0,003685442001988331
46,0;47,0;0,0034846004759944166
47,0;48,0;0,003072875347706892
48,0;49,0;0,0025707715327221055
49,0;50,0;0,002861991745413282
50,0;51,0;0,0033038431025998937
51,0;52,0;0,0027314447535172373
52,0;53,0;0,0025004769986242356
53,0;54,0;0,0026812343720187585
54,0;55,0;0,002882075898012673
55,0;56,0;0,002590855685321497
56,0;57,0;0,0018075737339452306
57,0;58,0;0,0019079944969421878
58,0;59,0;0,0018778682680431005
59,0;60,0;0,0013757644530583144
60,0;61,0;0,0014360169108564888
61,0;62,0;0,0012653016137616614
62,0;63,0;9,84123477370181E-4
63,0;64,0;9,941655536698769E-4
64,0;65,0;6,426928831805264E-4
65,0;66,0;7,431136461774837E-4
66,0;67,0;9,037868669726153E-4
67,0;68,0;9,740814010704853E-4
68,0;69,0;0,001024291782568964
69,0;70,0;9,13828943272311E-4
70,0;71,0;9,539972484710939E-4
71,0;72,0;8,937447906729195E-4
72,0;73,0;7,531557224771794E-4
73,0;74,0;8,334923328747452E-4
74,0;75,0;0,0010443759351683555
75,0;76,0;9,740814010704853E-4
76,0;77,0;8,535764854741367E-4
77,0;78,0;9,640393247707896E-4
78,0;79,0;6,527349594802221E-4
79,0;80,0;0,007842861590062361
