#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,5427636202984115
1,5;0,1619374661124164
2,5;0,1042934313312047
3,5;0,06884952908809767
4,5;0,0441090828764785
5,5;0,02778279816053176
6,5;0,017611502700965922
7,5;0,011295861196457618
8,5;0,007761511737654879
9,5;0,004980219691949314
10,5;0,003373697210675342
11,5;0,0022290499427676364
12,5;0,0013354218125589895
13,5;7,028535855573629E-4
14,5;4,1167138582645543E-4
15,5;2,911821997309075E-4
16,5;1,4057071711147257E-4
17,5;7,028535855573629E-5
18,5;5,020382753981163E-5
19,5;1,0040765507962328E-5
20,5;0,0
21,5;0,0
22,5;0,0
23,5;0,0
24,5;0,0
25,5;0,0
26,5;0,0
27,5;0,0
28,5;0,0
29,5;0,0
30,5;0,0
31,5;0,0
32,5;0,0
33,5;0,0
34,5;0,0
35,5;0,0
36,5;0,0
37,5;0,0
38,5;0,0
39,5;0,0
40,5;0,0
41,5;0,0
42,5;0,0
43,5;0,0
44,5;0,0
45,5;0,0
46,5;0,0
47,5;0,0
48,5;0,0
49,5;0,0
50,5;0,0
51,5;0,0
52,5;0,0
53,5;0,0
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
